name;probability
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testFit();0.1868
org.apache.commons.math3.optimization.univariate.BrentOptimizerTest.testSinMinWithValueChecker();0.2802
org.apache.commons.math3.stat.descriptive.DescriptiveStatisticsTest.testRemoval();0.5610
org.apache.commons.math3.ode.JacobianMatricesTest.testFinalResult();0.6529
org.apache.commons.math3.util.OpenIntToFieldTest.testPutKeysWithCollisions();0.3313
org.apache.commons.math3.util.MathArraysTest.testCheckOrder();0.2626
org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolatorTest.testParaboloid();0.1217
org.apache.commons.math3.stat.StatUtilsTest.testProduct();0.4359
org.apache.commons.math3.geometry.spherical.oned.LimitAngleTest.testReversedLimit();0.3061
org.apache.commons.math3.linear.RealVectorAbstractTest.testCombineSameType();0.6116
org.apache.commons.math3.stat.inference.GTestTest.testBadAlpha();0.1470
org.apache.commons.math3.util.MathArraysTest.testEbeAddPrecondition();0.5349
org.apache.commons.math3.geometry.euclidean.threed.Vector3DFormatAbstractTest.testParseSimpleWithDecimalsTrunc();0.3597
org.apache.commons.math3.stat.correlation.SpearmansRankCorrelationTest.testLongly();0.3425
org.apache.commons.math3.stat.ranking.NaturalRankingTest.testNaNsMaximalTiesMinimum();0.4173
org.apache.commons.math3.stat.descriptive.rank.PercentileTest.testAllTechniquesPercentileUsingCentralPivoting();0.7637
org.apache.commons.math3.analysis.interpolation.LinearInterpolatorTest.testInterpolateLinearDegenerateTwoSegment();0.0867
org.apache.commons.math3.complex.ComplexFormatAbstractTest.testSimpleNoDecimals();0.0852
org.apache.commons.math3.linear.EigenSolverTest.testZeroMatrix();0.3685
org.apache.commons.math3.ml.clustering.FuzzyKMeansClustererTest.testSingleCluster();0.3423
org.apache.commons.math3.util.ResizableDoubleArrayTest.testWithInitialCapacityAndExpansionFactor();0.2817
org.apache.commons.math3.analysis.interpolation.HermiteInterpolatorTest.testQuadratic();0.2870
org.apache.commons.math3.optimization.MultivariateDifferentiableVectorMultiStartOptimizerTest.testNoOptimum();0.1405
org.apache.commons.math3.analysis.differentiation.SparseGradientTest.testDivision();0.2696
org.apache.commons.math3.linear.HessenbergTransformerTest.testRandomData();0.3257
org.apache.commons.math3.linear.DiagonalMatrixTest.testSetEntryOutOfRange();0.9839
org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest.testHdiagConstant();0.2378
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDSTest.testApplyInverseTo();0.1312
org.apache.commons.math3.geometry.euclidean.oned.Vector1DFormatAbstractTest.testParseSimpleNoDecimals();0.1638
org.apache.commons.math3.linear.BlockFieldMatrixTest.testGetSetMatrixLarge();0.3201
org.apache.commons.math3.util.IntegerSequenceTest.testSingleElementRange();0.5462
org.apache.commons.math3.linear.BlockFieldMatrixTest.testMath209();0.2104
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testVectorTwoPairs();0.4407
org.apache.commons.math3.stat.inference.KolmogorovSmirnovTestTest.testTwoSampleMonteCarloPerformance();0.1899
org.apache.commons.math3.ode.nonstiff.ClassicalRungeKuttaIntegratorTest.testBigStep();0.3424
org.apache.commons.math3.linear.SymmLQTest.testSolveSaunders3();0.5784
org.apache.commons.math3.geometry.euclidean.threed.Vector3DTest.testWrongDimension();0.5897
org.apache.commons.math3.ode.nonstiff.DormandPrince54FieldIntegratorTest.testEventsErrors();0.6026
org.apache.commons.math3.stat.descriptive.rank.PSquarePercentileTest.testCannedDataSet();0.1216
org.apache.commons.math3.complex.ComplexTest.testMultiplyNaNInf();0.1531
org.apache.commons.math3.linear.RealVectorAbstractTest.testToArray();0.2547
org.apache.commons.math3.ode.nonstiff.ThreeEighthesFieldIntegratorTest.testStepSize();0.4921
org.apache.commons.math3.special.BetaTest.testLogBetaPositiveNan();0.4606
org.apache.commons.math3.stat.descriptive.DescriptiveStatisticsTest.testSummaryConsistency();0.0761
org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest.testOneRedundantColumn();0.3064
org.apache.commons.math3.complex.ComplexTest.testTanCritical();0.2745
org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolverTest.testIssue716();0.4313
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest.testBoundariesDimensionMismatch();0.2432
org.apache.commons.math3.analysis.polynomials.PolynomialsUtilsTest.testJacobiLegendre();0.4606
org.apache.commons.math3.stat.regression.SimpleRegressionTest.testRemoveMultipleToEmpty();0.4967
org.apache.commons.math3.optimization.direct.SimplexOptimizerMultiDirectionalTest.testMaximize1();0.2180
org.apache.commons.math3.util.MultidimensionalCounterTest.testPreconditions();0.8147
org.apache.commons.math3.linear.RealVectorFormatAbstractTest.testForgottenSuffix();0.3660
org.apache.commons.math3.fitting.GaussianFitterTest.testMath519();0.2802
org.apache.commons.math3.fraction.FractionTest.testLongValue();0.3155
org.apache.commons.math3.linear.LUDecompositionTest.testPAEqualLU();0.3840
org.apache.commons.math3.linear.ArrayFieldVectorTest.testWalkInDefaultOrderChangingVisitor2();0.3236
org.apache.commons.math3.ode.nonstiff.LutherIntegratorTest.testBigStep();0.3424
org.apache.commons.math3.linear.RealVectorFormatAbstractTest.testParseNegativeAll();0.3597
org.apache.commons.math3.analysis.FunctionUtilsTest.testSampleNegativeNumberOfPoints();0.3800
org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest.testSinAsin();0.1470
org.apache.commons.math3.stat.inference.KolmogorovSmirnovTestTest.testTwoSampleSmallSampleExact3();0.7473
org.apache.commons.math3.stat.descriptive.MultivariateSummaryStatisticsTest.testStats();0.4670
org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest.testIssue1211();0.2628
org.apache.commons.math3.geometry.euclidean.twod.hull.ConvexHullGenerator2DAbstractTest.testEmpty();0.4249
org.apache.commons.math3.analysis.differentiation.DSCompilerTest.testSize();0.4474
org.apache.commons.math3.linear.FieldLUSolverTest.testSolve();0.2308
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest.testFitAccuracyDependsOnBoundary();0.0934
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDSTest.testAnglesDeprecated();0.0979
org.apache.commons.math3.random.CorrelatedRandomVectorGeneratorTest.testMeanAndCovariance();0.1874
org.apache.commons.math3.complex.RootsOfUnityTest.testGetNumberOfRoots();0.3242
org.apache.commons.math3.random.RandomDataGeneratorTest.testNextPascal();0.7063
org.apache.commons.math3.linear.SymmLQTest.testSolveSaunders12();0.5784
org.apache.commons.math3.geometry.spherical.twod.SphericalPolygonsSetTest.testPositiveOctantByIntersection();0.3736
